i,05/16/2017 22:36:27,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="6316" Tid="8628" TS="0x01D2CE8417E8DE14" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84185DFC15" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886983189 FinishedAt=131394405886983189"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8418601F59" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A85C0 Latency=0 StartedAt=131394405887123289 FinishedAt=131394405887123289"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE841862428A" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405887263370 FinishedAt=131394405887263370"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE841864796F" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405887408495 FinishedAt=131394405887408495"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8418669CA4" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405887548580 FinishedAt=131394405887548580"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE841868D376" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405887693686 FinishedAt=131394405887693686"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84186B31FE" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405887848958 FinishedAt=131394405887848958"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84186D68A1" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405887994017 FinishedAt=131394405887994017"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE84186FB279" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405888143993 FinishedAt=131394405888143993"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE841871FCCF" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405888294095 FinishedAt=131394405888294095"
